Week,Line,Location,Incident,Min Delay,Min Gap,Vehicle,has_delay,Year,Month,Day_of_Month,Hour,Minute,Bound_B,Bound_E,Bound_N,Bound_S,Bound_W
1,0.15548057632682838,0.000180408,5,7,17,4465,0,2024,1,1,23,16,0,0,0,0,1
1,0.047966441728980486,0.010734259426303445,3,0,0,4505,0,2024,1,1,0,8,0,0,0,0,0
1,0.1118913,0.003698358,0,10,20,4480,0,2024,1,1,0,10,0,0,1,0,0
1,0.080977567,0.000541223,4,5,15,8693,0,2024,1,1,0,47,0,1,0,0,0
1,0.20390297282509576,0.000992242,3,10,20,4403,0,2024,1,1,0,49,0,0,0,0,1
1,0.047966441728980486,0.010824463287028685,3,10,20,4505,0,2024,1,1,1,42,0,1,0,0,0
1,0.15548057632682838,0.001713873,8,8,18,4532,0,2024,1,1,1,48,0,1,0,0,0
1,0.15548057632682838,0.002706116,11,17,0,4570,1,2024,1,1,1,50,0,1,0,0,0
1,0.047966441728980486,0.002706116,11,17,0,4567,1,2024,1,1,1,59,0,1,0,0,0
1,0.1118913,0.000451019,7,26,41,4440,1,2024,1,2,3,9,0,1,0,0,0
1,0.20390297282509576,0.009832221,4,4,12,4594,0,2024,1,2,4,51,0,0,0,0,1
1,0.20390297282509576,0.009832221,8,8,16,0,0,2024,1,2,5,22,0,0,0,0,0
1,0.006474558,0.010734259426303445,11,0,0,4582,0,2024,1,2,5,33,0,0,0,0,0
1,0.15548057632682838,9.020386072523904e-05,1,10,20,4404,0,2024,1,2,5,34,0,1,0,0,0
1,0.031825643,0.006224066,7,10,20,4530,0,2024,1,2,5,43,0,1,0,0,0
1,0.064380813,0.000541223,8,9,18,4512,0,2024,1,2,6,7,0,0,1,0,0
1,0.1118913,0.002435504,8,10,20,4455,0,2024,1,2,6,43,0,0,0,0,0
1,0.15548057632682838,0.000451019,11,10,20,4415,0,2024,1,2,6,48,0,0,0,0,1
1,0.10404887835126755,0.004059174,4,10,20,4577,0,2024,1,2,7,17,0,1,0,0,0
1,0.031825643,9.020386072523904e-05,8,10,20,4474,0,2024,1,2,7,53,0,0,0,0,0
1,0.1118913,0.000270612,4,10,20,4537,0,2024,1,2,8,34,0,0,0,0,0
1,0.1118913,0.000721631,3,10,20,4497,0,2024,1,2,8,39,0,0,0,0,0
1,0.15548057632682838,9.020386072523904e-05,6,0,0,4404,0,2024,1,2,9,48,0,1,0,0,0
1,0.12666423490789713,0.005773047,3,10,20,4427,0,2024,1,2,12,31,0,1,0,0,0
1,0.064380813,0.005773047,11,7,15,4547,0,2024,1,2,12,46,0,1,0,0,0
1,0.12666423490789713,0.003698358,0,10,20,4405,0,2024,1,2,12,55,0,0,0,0,1
1,0.064380813,9.020386072523904e-05,10,0,0,4523,0,2024,1,2,13,16,0,1,0,0,0
1,0.20390297282509576,0.005502436,8,3,8,8368,0,2024,1,2,13,31,0,1,0,0,0
1,0.1118913,9.020386072523904e-05,8,10,20,4585,0,2024,1,2,13,59,0,0,1,0,0
1,0.080977567,0.000360815,7,6,12,8794,0,2024,1,2,14,40,0,0,0,0,1
1,0.20390297282509576,0.003517951,8,6,12,7010,0,2024,1,2,14,43,0,1,0,0,0
1,0.20390297282509576,0.002525708,8,28,38,4407,1,2024,1,2,15,30,0,0,0,1,0
1,0.12666423490789713,0.020566480245354502,8,10,20,4569,0,2024,1,2,16,39,0,1,0,0,0
1,0.080977567,0.001443262,7,6,12,8036,0,2024,1,2,16,49,0,1,0,0,0
1,0.1118913,0.001894281,11,10,20,4591,0,2024,1,2,18,23,0,0,0,1,0
1,0.047966441728980486,0.000902039,4,0,0,4598,0,2024,1,2,18,33,0,0,0,0,1
1,0.10404887835126755,0.001533466,0,10,20,4535,0,2024,1,2,20,7,0,0,0,0,1
1,0.15548057632682838,9.020386072523904e-05,3,10,20,4459,0,2024,1,2,20,23,0,0,0,0,0
1,0.20390297282509576,0.001713873,0,10,20,8347,0,2024,1,2,20,42,0,1,0,0,0
1,0.1118913,0.022911780624210717,11,10,20,4494,0,2024,1,2,20,53,0,0,0,0,0
1,0.15548057632682838,0.004780805,12,10,20,4422,0,2024,1,2,0,7,0,0,0,0,1
1,0.15548057632682838,0.000451019,12,10,20,4410,0,2024,1,2,0,37,0,0,0,0,1
1,0.15548057632682838,0.000541223,5,20,30,4522,1,2024,1,2,0,40,0,1,0,0,0
1,0.15548057632682838,9.020386072523904e-05,2,20,30,4501,1,2024,1,2,0,40,0,1,0,0,0
1,0.064380813,9.020386072523904e-05,2,20,30,4488,1,2024,1,2,0,43,0,0,0,0,0
1,0.12666423490789713,0.004059174,3,0,0,4569,0,2024,1,2,0,57,0,0,0,0,0
1,0.15548057632682838,0.009200794,3,0,0,4401,0,2024,1,2,1,6,0,1,0,0,0
1,0.20390297282509576,0.009200794,2,20,30,0,1,2024,1,2,1,16,0,1,0,0,0
1,0.064380813,0.009200794,2,20,30,0,1,2024,1,2,1,18,0,1,0,0,0
1,0.12666423490789713,0.004059174,3,10,20,4418,0,2024,1,2,1,28,0,0,0,0,0
1,0.12666423490789713,0.000360815,11,0,0,4514,0,2024,1,2,1,43,0,0,0,0,0
1,0.15548057632682838,0.020566480245354502,11,10,20,4596,0,2024,1,3,2,2,0,0,0,0,1
1,0.010760532555170527,0.006224066,5,17,34,8639,1,2024,1,3,2,49,0,0,0,0,0
1,0.15548057632682838,0.001262854,7,7,15,4584,0,2024,1,3,4,55,0,1,0,0,0
1,0.20390297282509576,0.002706116,11,0,0,4580,0,2024,1,3,5,32,0,0,0,0,0
1,0.20390297282509576,9.020386072523904e-05,7,7,15,8365,0,2024,1,3,5,34,0,0,0,1,0
1,0.080977567,0.008659571,8,6,12,8839,0,2024,1,3,5,53,0,0,0,0,1
1,0.1118913,0.000721631,11,7,17,4435,0,2024,1,3,6,32,0,0,0,0,0
1,0.047966441728980486,0.003698358,2,10,19,4561,0,2024,1,3,6,35,0,1,0,0,0
1,0.20390297282509576,0.002074689,11,15,23,4496,0,2024,1,3,6,38,0,1,0,0,0
1,0.047966441728980486,0.000811835,4,0,0,4561,0,2024,1,3,6,48,0,1,0,0,0
1,0.10404887835126755,0.009832221,8,7,14,4400,0,2024,1,3,7,24,0,0,0,0,0
1,0.20390297282509576,0.000360815,8,7,15,4599,0,2024,1,3,7,48,0,0,0,0,1
1,0.15548057632682838,9.020386072523904e-05,3,6,12,8687,0,2024,1,3,7,52,0,0,1,0,0
1,0.12666423490789713,0.005773047,0,10,20,4549,0,2024,1,3,9,15,0,0,1,0,0
1,0.064380813,0.003608154,4,10,20,4521,0,2024,1,3,10,16,0,0,0,0,1
1,0.20390297282509576,0.003608154,8,8,16,4463,0,2024,1,3,10,22,0,0,0,0,1
1,0.15548057632682838,0.003157135,8,6,12,4602,0,2024,1,3,11,23,0,1,0,0,0
1,0.20390297282509576,0.001984485,0,8,16,8360,0,2024,1,3,11,49,0,0,0,0,1
1,0.064380813,0.003608154,11,23,33,4546,1,2024,1,3,11,55,0,0,0,0,0
1,0.10404887835126755,0.007667328,0,10,20,4500,0,2024,1,3,12,1,0,0,0,1,0
1,0.080977567,9.020386072523904e-05,3,5,10,3365,0,2024,1,3,12,14,0,0,0,0,1
1,0.10404887835126755,0.003517951,10,0,0,4439,0,2024,1,3,13,16,0,0,1,0,0
1,0.20390297282509576,9.020386072523904e-05,8,3,8,3528,0,2024,1,3,13,31,0,1,0,0,0
1,0.15548057632682838,9.020386072523904e-05,6,10,20,4505,0,2024,1,3,14,8,0,0,1,0,0
1,0.15548057632682838,9.020386072523904e-05,6,6,12,8826,0,2024,1,3,14,12,0,0,0,0,0
1,0.15548057632682838,0.000451019,3,10,20,4572,0,2024,1,3,14,55,0,0,0,0,1
1,0.12666423490789713,0.002525708,0,10,20,4569,0,2024,1,3,15,6,0,1,0,0,0
1,0.15548057632682838,0.020566480245354502,0,10,20,4423,0,2024,1,3,16,47,0,0,0,0,1
1,0.10404887835126755,9.020386072523904e-05,7,10,20,4428,0,2024,1,3,16,55,0,0,1,0,0
1,0.031825643,0.000451019,2,123,133,4451,1,2024,1,3,16,59,0,0,0,0,1
1,0.00665694,0.000721631,2,109,119,4485,1,2024,1,3,17,7,0,0,0,0,0
1,0.080977567,0.001984485,8,6,12,8776,0,2024,1,3,17,41,0,0,0,0,1
1,0.064380813,0.001894281,7,10,20,4523,0,2024,1,3,17,42,0,1,0,0,0
1,0.20390297282509576,0.006494678,7,10,20,4601,0,2024,1,3,17,44,0,0,0,1,0
1,0.20390297282509576,0.006855493,12,4,0,7007,0,2024,1,3,17,46,0,1,0,0,0
1,0.15548057632682838,0.001533466,0,10,20,4403,0,2024,1,3,18,16,0,0,0,1,0
1,0.064380813,0.003608154,8,10,20,4462,0,2024,1,3,18,41,0,0,0,0,1
1,0.035290899,9.020386072523904e-05,8,40,50,4449,1,2024,1,3,18,58,0,0,1,0,0
1,0.20390297282509576,9.020386072523904e-05,12,5,10,3528,0,2024,1,3,19,2,0,0,0,0,1
1,0.15548057632682838,0.004600397,8,10,20,4444,0,2024,1,3,19,35,0,0,0,0,1
1,0.064380813,0.001082446,11,10,20,4511,0,2024,1,3,20,41,0,0,0,0,1
1,0.031825643,0.000902039,2,10,20,4446,0,2024,1,3,20,52,0,0,0,0,0
1,0.20390297282509576,9.020386072523904e-05,11,10,20,4406,0,2024,1,3,21,0,0,0,0,0,1
1,0.15548057632682838,0.005682843,0,10,20,4538,0,2024,1,3,21,18,0,0,0,0,1
1,0.12666423490789713,0.004690601,11,10,20,4443,0,2024,1,3,21,47,0,0,0,0,0
1,0.20390297282509576,0.010734259426303445,11,10,20,4488,0,2024,1,3,21,51,0,0,0,0,0
1,0.15548057632682838,0.004329785,8,10,20,4590,0,2024,1,3,23,23,0,0,0,0,1
1,0.15548057632682838,0.000992242,5,7,17,4516,0,2024,1,3,0,11,0,0,0,0,1
1,0.047966441728980486,0.000721631,7,10,20,4486,0,2024,1,3,0,33,0,1,0,0,0
1,0.20390297282509576,0.006855493,12,12,24,8343,0,2024,1,3,1,8,0,0,0,0,1
1,0.035290899,9.020386072523904e-05,11,0,0,4457,0,2024,1,3,1,42,0,0,1,0,0
1,0.20390297282509576,0.002706116,11,0,0,4488,0,2024,1,3,1,50,0,0,0,0,1
1,0.10404887835126755,0.001713873,2,46,66,4439,1,2024,1,4,2,43,0,0,0,0,1
1,0.002644538,0.004961212,3,30,55,8639,1,2024,1,4,3,27,0,0,0,0,0
1,0.15548057632682838,0.022190149738408806,8,6,12,0,0,2024,1,4,4,30,0,0,0,0,0
1,0.12666423490789713,0.002525708,7,10,20,4586,0,2024,1,4,5,54,0,1,0,0,0
1,0.080977567,9.020386072523904e-05,1,3,6,3328,0,2024,1,4,7,21,0,0,0,1,0
1,0.20390297282509576,0.000451019,0,5,10,8177,0,2024,1,4,7,46,0,0,0,0,1
1,0.20390297282509576,0.000631427,11,0,0,7058,0,2024,1,4,8,22,0,0,0,0,1
1,0.080977567,0.000180408,1,3,6,8157,0,2024,1,4,8,39,0,0,0,0,1
1,0.15548057632682838,9.020386072523904e-05,11,0,0,4491,0,2024,1,4,9,8,0,0,0,0,1
1,0.15548057632682838,0.005592639,7,10,20,4532,0,2024,1,4,9,11,0,0,0,0,1
1,0.080977567,0.000180408,1,3,6,8755,0,2024,1,4,9,25,0,0,0,0,1
1,0.20390297282509576,0.001894281,11,8,16,8327,0,2024,1,4,9,48,0,0,0,0,1
1,0.20390297282509576,0.000180408,8,5,10,8304,0,2024,1,4,9,56,0,0,0,1,0
1,0.20390297282509576,0.001894281,11,8,16,8173,0,2024,1,4,10,7,0,0,0,0,1
1,0.20390297282509576,0.002525708,5,8,16,4443,0,2024,1,4,11,27,0,0,0,0,1
1,0.047966441728980486,0.003066931,11,10,19,4580,0,2024,1,4,11,49,0,0,0,0,0
1,0.20390297282509576,9.020386072523904e-05,8,20,28,7107,1,2024,1,4,12,37,0,0,0,0,1
1,0.080977567,0.001984485,4,5,10,8685,0,2024,1,4,12,56,0,0,0,0,1
1,0.10404887835126755,0.00396897,7,10,20,4520,0,2024,1,4,13,2,0,0,1,0,0
1,0,0.007667328,7,10,20,0,0,2024,1,4,13,16,0,0,0,0,1
1,0.12666423490789713,0.010734259426303445,3,0,0,4539,0,2024,1,4,14,36,0,0,0,0,0
1,0.10404887835126755,0.007667328,2,22,32,4483,1,2024,1,4,14,47,0,0,0,0,1
1,0.031825643,9.020386072523904e-05,2,6,16,4579,0,2024,1,4,15,9,0,1,0,0,0
1,0.047966441728980486,0.001533466,4,0,0,4580,0,2024,1,4,16,22,0,0,0,0,1
1,0.20390297282509576,0.002525708,2,10,20,4428,0,2024,1,4,16,44,0,0,0,0,0
1,0.12666423490789713,0.003608154,8,10,20,4494,0,2024,1,4,17,19,0,1,0,0,0
1,0.12666423490789713,0.003608154,11,15,25,4448,0,2024,1,4,17,32,0,1,0,0,0
1,0.047966441728980486,0.010734259426303445,4,0,0,4548,0,2024,1,4,18,20,0,1,0,0,0
1,0.12666423490789713,0.005592639,8,10,20,4571,0,2024,1,4,18,39,0,1,0,0,0
1,0.20390297282509576,0.002255097,11,5,10,7107,0,2024,1,4,18,41,0,0,1,0,0
1,0.1118913,9.020386072523904e-05,11,9,19,4540,0,2024,1,4,20,22,0,0,1,0,0
1,0.1118913,0.022911780624210717,5,10,20,4482,0,2024,1,4,21,21,0,0,0,0,0
1,0.12666423490789713,9.020386072523904e-05,8,10,20,4564,0,2024,1,4,21,30,0,0,1,0,0
1,0.15548057632682838,0.000270612,2,34,44,4556,1,2024,1,4,22,13,0,1,0,0,0
1,0.15548057632682838,0.000270612,5,30,40,4477,1,2024,1,4,22,17,0,1,0,0,0
1,0.035290899,9.020386072523904e-05,6,10,20,4524,0,2024,1,4,22,20,0,0,0,1,0
1,0.20390297282509576,0.000451019,12,10,20,7029,0,2024,1,4,22,20,0,1,0,0,0
